date	student_id	languages	best_language	app_experience	tech_experience
9/5/2022 15:48:25	7619387	Java, Python, C++, C#	Python	Command line scripts, Desktop GUI applications, IoT Software, Database Driven Applications, Firmware (including Raspberry Pi, etc.), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/17/2022 15:33:55	8821232	Java, C#, C++, Python, JavaScript, PHP	Python, C++	Command line scripts, Desktop GUI applications, Web Front-End (Javascript), Firmware (including Raspberry Pi, etc.), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Web Design (HTML+CSS), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/6/2022 1:30:42	5123958	JavaScript, PHP, Python, C++, scheme, Lua 	Javascript 	Command line scripts, Web Front-End (Javascript), Web Back-End Server, Server-side Applications (other than Web back-end), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 13:58:51	3039511	Python, R, SQL	Python, R, SQL	Maths/Statistics/Data Science Coding, Files automation (After blending the data I am able to create PDF with specif formats and images)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.)
9/5/2022 13:30:51	1005154	PySpark. Python, Ruby	Python	Command line scripts, Database Driven Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 22:20:12	5227526	C++, Java, Python, Typescript	C++, Java	Command line scripts, Web Front-End (Javascript), Web Back-End Server, Server-side Applications (other than Web back-end), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/9/2022 15:47:38	46141	Java,Javascript,C#,C...	Java	Command line scripts, Web Front-End (Javascript), Web Back-End Server	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/6/2022 21:17:21	3033661	C, C++, Python, Kotlin	Python	Mobile Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/18/2022 0:13:02	5756422	C, C++, Javascript	C, C++	Mobile Applications	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.)
9/6/2022 14:12:40	447454	Java, C, Python, JavaScript, PHP, Kotlin, Swift, SQL	Java	Command line scripts, Web Front-End (Javascript), Web Back-End Server, Mobile Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/10/2022 12:19:16	9858624	C++, Python	Python	IoT Software, Database Driven Applications, Firmware (including Raspberry Pi, etc.)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/15/2022 22:27:17	9301395	C, C++, Python, MATLAB, R, JS, Batch Script, Linux Shell Script	C++, Python, C	Command line scripts, Server-side Applications (other than Web back-end), Firmware (including Raspberry Pi, etc.), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/7/2022 22:07:52	2934763	Python, C, Java, HTML, MySQL	Python	Web Front-End (Javascript), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/12/2022 9:06:04	1350354	Python c c# js	Python js	Web Front-End (Javascript)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Web Design (HTML+CSS), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/12/2022 1:16:57	5947095	Python	Python	Desktop GUI applications, Database Driven Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/7/2022 0:18:03	933839	Python,R,SAS	Python	Maths/Statistics/Data Science Coding	Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Version Control (Git, SVN, Mercurial, etc.)
9/16/2022 20:30:26	851394	Python,C,shell script	python	Command line scripts, Web Back-End Server, Server-side Applications (other than Web back-end)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 22:39:26	5925805	Python, Javascript, C++, C#	Python, Javascript	Command line scripts, Web Front-End (Javascript), Web Back-End Server, Mobile Applications, IoT Software, Firmware (including Raspberry Pi, etc.)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 19:02:37	4472779	C, C++, Python, Java, Javascript (React), Go	Python	Command line scripts, Desktop GUI applications, Web Front-End (Javascript), Web Back-End Server, Server-side Applications (other than Web back-end), Mobile Applications, wireless communication encoding/decoding code with Matlab 	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Containerization (Docker, Kubernetes, etc.)
9/13/2022 19:05:57	6698372	Python, Java, HTML, CSS, React	Java	Desktop GUI applications, Web Front-End (Javascript)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/25/2022 13:15:43	7029480	C / C++ / Python	C++	Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS)
